word	definition	pos
declarar	to declare	verb
defender	to defend	verb
definir	to define	verb
dejar	to leave	verb
del	from	preposition
delito	crime	noun
demanda	demand	noun
demostrar	to show	verb
dentro	inside	adverb
dentro	complaint	noun
denunciar	to denounce	verb
departamento	department	noun
dependencia	dependence	noun
depender	to depend	verb
deportivo	sports	adjective
derecho	law	noun
desarrollar	to develop	verb
desarrollo	development	noun
descubrir	to discover	verb
desde	since	preposition
desear	to want	verb
después	afterwards	adverb
destacar	to highlight, to emphasize	verb
destino	destiny	noun
detallar	to detail	verb
detalle	detail	noun
detectar	to detect	verb
detener	to stop	verb
determinar	to determine	verb
día	day	noun
diario	daily	adjective
dicho	said	adjective
diciembre	December	noun
diez	ten	numeral
diferencia	difference	noun
diferente	different	adjective
difícil	hard	adjective
digital	digital	adjective
dinero	money	noun
Dios	God	proper noun
diputado	deputy	noun
dirección	address	noun
directo	straight	adjective
director	director	noun
dirigido	directed	adjective
dirigir	to direct	verb
diseño	design	noun
disfrutar	to enjoy	verb
disponer	to prepare	verb
disponible	available	adjective
disposición	tendency, layout	noun
dispositivo	device	noun
distancia	distance	noun
distinto	different	determiner
diverso	miscellaneous	determiner
docente	teacher, lecturer	noun
documento	document	noun
dólares	dollars	noun
domicilio	address, residence	noun
domingo	Sunday	noun
donde	where	pronoun
dónde	where	pronoun
dos	two	numeral
duda	doubt	noun
durante	during	preposition
e	and	conjunction
economía	economy	noun
económico	economic	adjective
edad	age	noun
edición	edition	noun
edificio	building	noun
educación	education	noun
educativo	educational	adjective
efectivo	effective	adjective
efecto	effect	noun
ejemplo	example	noun
ejercicio	exercise	noun
el	the	determiner
él	he	pronoun
elección	choice	noun
electoral	electoral	adjective
eléctrico	electric	adjective
electrónico	electronic	adjective
elegir	to choose	verb
elemento	element	noun
embargo	embargo	noun
emergencia	emergency	noun
emitir	to emit	verb
empezar	to start	verb
empleado	employee	noun
empleo	job	noun
empresa	company	noun
en	in	preposition
encontrar	to find	verb
encuentro	meeting	noun
energía	energy	noun
enero	January	noun
enfrentar	to confront	verb
entender	to understand	verb
entidad	entity	noun
entonces	then	adverb
entrada	entrance	noun
entrar	to get in	verb
entre	between	preposition
entrega	delivery	noun
entregar	to deliver	verb
entrevista	interview	noun
enviar	to send	verb
equipo	equipment	noun
escenario	stage	noun
escolar	school	adjective
escribir	to write	verb
escrito	written	adjective
escuchar	to listen	verb
escuela	school	noun
ese	that	determiner
esfuerzo	effort	noun
espacio	space	noun
España	Spain	proper noun
español	Spanish	adjective
especial	special	adjective
especialista	specialist	noun
especialmente	especially	adverb
especie	species	noun
específico	specific	adjective
esperar	to expect	verb
establecer	to establish	verb
establecido	established	adjective
estado	state	noun
estadounidense	American	adjective
estar	to be	verb
estatal	state	adjective
este	this	determiner
estrategia	strategy	noun
estructura	structure	noun
estudiante	student	noun
estudiar	to study	verb
estudio	study	noun
etapa	stage	noun
Europa	Europe	proper noun
euros	euros	noun
evaluación	evaluation	noun
evento	event	noun
evitar	to avoid	verb
ex	former	adjective
examen	examination	noun
excelente	excellent	adjective
exigir	to demand	verb
existir	to exist	verb
éxito	success	noun
experiencia	experience	noun
experto	expert	noun
explicar	to explain	verb
expresar	to express	verb
extranjero	foreign	adjective
fácil	easy	adjective
factor	factor	noun
fallecido	deceased	adjective
falta	lack	noun
faltar	to lack	verb
familia	family	noun
familiar	family	adjective
fase	phase	noun
favor	please	noun
febrero	February	noun
fecha	date	noun
federal	federal	adjective
fiesta	party	noun
fin	end	noun
final	final	noun
finalmente	finally	adverb
financiero	financial	adjective
firma	signature	noun
fiscal	fiscal	adjective
físico	physical	adjective
fondo	background	noun
forma	form	noun
formación	training	noun
formar	to form	verb
formato	format	noun
fortalecer	to strengthen	verb
foto	photo	noun
Francisco	Francis	proper noun
frente	front	noun
